date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:46:07	26578/26578	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202019%2006:16:05%20GMT	http://www.pandalive.co.kr/member/find?lxmPfZ4Dna=pw	/home/developer/websites/pandalive/www.pandalive.co.kr/member/find1b2e.html	(from http://www.pandalive.co.kr/member/find)
11:46:07	68975/68975	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202019%2006:16:04%20GMT	http://www.pandalive.co.kr/policy/?lxmPfZ4Dna=service	/home/developer/websites/pandalive/www.pandalive.co.kr/policy/index48e7.html	(from http://www.pandalive.co.kr/)
11:46:08	26572/26572	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202019%2006:16:05%20GMT	http://www.pandalive.co.kr/policy/?lxmPfZ4Dna=youth	/home/developer/websites/pandalive/www.pandalive.co.kr/policy/index9f3a.html	(from http://www.pandalive.co.kr/)
11:46:10	31700/31700	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202019%2006:16:07%20GMT	http://www.pandalive.co.kr/policy/?lxmPfZ4Dna=cast	/home/developer/websites/pandalive/www.pandalive.co.kr/policy/indexd726.html	(from http://www.pandalive.co.kr/)
11:46:11	25736/25736	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202019%2006:16:08%20GMT	http://www.pandalive.co.kr/policy/?lxmPfZ4Dna=play	/home/developer/websites/pandalive/www.pandalive.co.kr/policy/index8ab4.html	(from http://www.pandalive.co.kr/)
11:46:11	31358/31358	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202019%2006:16:09%20GMT	http://www.pandalive.co.kr/policy/?lxmPfZ4Dna=claim	/home/developer/websites/pandalive/www.pandalive.co.kr/policy/index0889.html	(from http://www.pandalive.co.kr/)
12:34:30	37805776/37805776	---M--	200	added ('OK')	application/x-msdownload	date:Mon,%2023%20Dec%202019%2006:52:44%20GMT	http://www.pandalive.co.kr/launcher/clientWin	/home/developer/websites/pandalive/www.pandalive.co.kr/launcher/PANDATV.exe	(from http://www.pandalive.co.kr/)
12:34:32	29582/29582	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202019%2007:04:31%20GMT	http://www.pandalive.co.kr/charge/itemHeart	/home/developer/websites/pandalive/www.pandalive.co.kr/charge/itemHeart.html	(from http://www.pandalive.co.kr/charge/heart)
12:34:33	12566/12566	---M--	200	added ('OK')	image/png	etag:%225b7e5c18-3116%22	http://icache.neolive.kr/code:pandatv/web/charge/heartNumcnt_img.png	/home/developer/websites/pandalive/icache.neolive.kr/code_pandatv/web/charge/heartNumcnt_img.png	(from http://www.pandalive.co.kr/charge/heart)
12:34:33	11602/11602	---M--	200	added ('OK')	image/png	etag:%225a7aa5d7-2d52%22	http://icache.neolive.kr/code:pandatv/web/charge/heartcoin_100.png	/home/developer/websites/pandalive/icache.neolive.kr/code_pandatv/web/charge/heartcoin_100.png	(from http://www.pandalive.co.kr/charge/heart)
